name,number
4200,2
10000,36
3000,3
3500,3
8000,101
4000,3
4100,2
6800,3
5000,68
7000,66
5500,4
5200,2
5600,2
3300,2
4800,2
7500,2
7300,2
6200,1
6000,68
3700,2
