name,number
27,1
28,5
29,13
30,13
31,18
32,17
33,13
34,2
35,12
36,12
37,20
38,20
39,15
40,4
41,12
42,9
43,34
44,30
45,14
48,3
49,11
50,20
51,8
52,9
53,17
54,7
55,2
56,2
57,9
58,6
59,16
